config,seed,session,budget_frames,ref_raw_r2
plain,2,ses-2020-11-18-Run1,1600,0.21208810210227966
plain,2,ses-2020-11-18-Run1,3200,0.21275964081287385
plain,2,ses-2020-11-18-Run1,1000000000,0.21275964081287385
plain,2,ses-2020-11-19-Run1,200,0.09419759660959244
plain,2,ses-2020-11-19-Run1,400,0.11749533433467149
plain,2,ses-2020-11-19-Run1,800,0.09274025689810514
plain,2,ses-2020-11-19-Run1,1600,0.09569622983690351
plain,2,ses-2020-11-19-Run1,3200,0.09682146359700709
plain,2,ses-2020-11-19-Run1,1000000000,0.09682146359700709
plain,2,ses-2020-11-24-Run1,200,0.10509741753339767
plain,2,ses-2020-11-24-Run1,400,0.12833400666713715
plain,2,ses-2020-11-24-Run1,800,0.12452170252799988
plain,2,ses-2020-11-24-Run1,1600,0.13472513854503632
plain,2,ses-2020-11-24-Run1,3200,0.13442294299602509
plain,2,ses-2020-11-24-Run1,1000000000,0.13442294299602509
plain,2,ses-2020-11-24-Run2,200,0.017323408648371695
plain,2,ses-2020-11-24-Run2,400,0.034837975073605774
plain,2,ses-2020-11-24-Run2,800,0.021165424678474664
plain,2,ses-2020-11-24-Run2,1600,0.018815061077475548
plain,2,ses-2020-11-24-Run2,3200,0.02265350131201558
plain,2,ses-2020-11-24-Run2,1000000000,0.02265350131201558
film,2,ses-2020-10-30-Run1,200,0.3066801965236664
film,2,ses-2020-10-30-Run1,400,0.3095745950937271
film,2,ses-2020-10-30-Run1,800,0.31108311116695403
film,2,ses-2020-10-30-Run1,1600,0.3079376608133316
film,2,ses-2020-10-30-Run1,3200,0.3092789828777313
film,2,ses-2020-10-30-Run1,1000000000,0.3092789828777313
film,2,ses-2020-10-30-Run2,200,0.32415839433670046
film,2,ses-2020-10-30-Run2,400,0.3127987891435623
film,2,ses-2020-10-30-Run2,800,0.3159732401371002
film,2,ses-2020-10-30-Run2,1600,0.3175806999206543
film,2,ses-2020-10-30-Run2,3200,0.31628085374832154
film,2,ses-2020-10-30-Run2,1000000000,0.31628085374832154
film,2,ses-2020-11-18-Run1,200,0.17527155429124833
film,2,ses-2020-11-18-Run1,400,0.17343854755163193
film,2,ses-2020-11-18-Run1,800,0.1786424219608307
film,2,ses-2020-11-18-Run1,1600,0.17577414065599442
film,2,ses-2020-11-18-Run1,3200,0.17569135427474974
film,2,ses-2020-11-18-Run1,1000000000,0.17569135427474974
film,2,ses-2020-11-19-Run1,200,0.08117834622971713
film,2,ses-2020-11-19-Run1,400,0.08232507780194283
film,2,ses-2020-11-19-Run1,800,0.0706489322707057
film,2,ses-2020-11-19-Run1,1600,0.07390346806496381
film,2,ses-2020-11-19-Run1,3200,0.07325833924114704
film,2,ses-2020-11-19-Run1,1000000000,0.07325833924114704
film,2,ses-2020-11-24-Run1,200,0.1154932700097561
film,2,ses-2020-11-24-Run1,400,0.12403454631567001
film,2,ses-2020-11-24-Run1,800,0.12264079302549362
film,2,ses-2020-11-24-Run1,1600,0.12423379272222519
film,2,ses-2020-11-24-Run1,3200,0.12574897706508636
film,2,ses-2020-11-24-Run1,1000000000,0.12574897706508636
