seed,hidden,nparam,session,budget_frames,calib_seconds,ref_raw_r2
3,64,7298,ses-2020-10-30-Run2,800,16.0,0.31758045852184297
3,64,7298,ses-2020-10-30-Run2,1600,32.0,0.32720168828964236
3,64,7298,ses-2020-10-30-Run2,3200,40.8,0.3281926095485687
3,64,7298,ses-2020-10-30-Run2,1000000000,40.8,0.3281926095485687
3,64,7298,ses-2020-11-18-Run1,200,4.0,0.1218506157398224
3,64,7298,ses-2020-11-18-Run1,400,8.0,0.16886479258537293
3,64,7298,ses-2020-11-18-Run1,800,16.0,0.16568849682807923
3,64,7298,ses-2020-11-18-Run1,1600,32.0,0.15706802308559417
3,64,7298,ses-2020-11-18-Run1,3200,40.3,0.16051292419433594
3,64,7298,ses-2020-11-18-Run1,1000000000,40.3,0.16051292419433594
3,64,7298,ses-2020-11-19-Run1,200,4.0,0.08399793654680252
3,64,7298,ses-2020-11-19-Run1,400,8.0,0.10956944599747657
3,64,7298,ses-2020-11-19-Run1,800,16.0,0.10128302685916424
3,64,7298,ses-2020-11-19-Run1,1600,32.0,0.10417806729674339
3,64,7298,ses-2020-11-19-Run1,3200,48.7,0.10560482107102871
3,64,7298,ses-2020-11-19-Run1,1000000000,48.7,0.10560482107102871
3,64,7298,ses-2020-11-24-Run1,200,4.0,0.06393044739961624
3,64,7298,ses-2020-11-24-Run1,400,8.0,0.08582098707556725
3,64,7298,ses-2020-11-24-Run1,800,16.0,0.09530159384012223
3,64,7298,ses-2020-11-24-Run1,1600,32.0,0.09719131737947465
3,64,7298,ses-2020-11-24-Run1,3200,35.4,0.09568250924348831
3,64,7298,ses-2020-11-24-Run1,1000000000,35.4,0.09568250924348831
3,64,7298,ses-2020-11-24-Run2,200,4.0,-0.020999494194984435
3,64,7298,ses-2020-11-24-Run2,400,8.0,0.0038768626749515534
3,64,7298,ses-2020-11-24-Run2,800,16.0,0.001735900342464447
3,64,7298,ses-2020-11-24-Run2,1600,32.0,0.0048370398581027985
3,64,7298,ses-2020-11-24-Run2,3200,37.6,0.00270136296749115
3,64,7298,ses-2020-11-24-Run2,1000000000,37.6,0.00270136296749115
1,128,13634,ses-2020-10-30-Run1,200,4.0,0.37169877290725706
1,128,13634,ses-2020-10-30-Run1,400,8.0,0.3648516178131104
1,128,13634,ses-2020-10-30-Run1,800,16.0,0.36149426102638244
1,128,13634,ses-2020-10-30-Run1,1600,32.0,0.3620580494403839
1,128,13634,ses-2020-10-30-Run1,3200,43.6,0.36152472496032717
1,128,13634,ses-2020-10-30-Run1,1000000000,43.6,0.36152472496032717
1,128,13634,ses-2020-10-30-Run2,200,4.0,0.222279609949328
1,128,13634,ses-2020-10-30-Run2,400,8.0,0.2308358285576105
1,128,13634,ses-2020-10-30-Run2,800,16.0,0.22162294276058675
1,128,13634,ses-2020-10-30-Run2,1600,32.0,0.23227715268731117
1,128,13634,ses-2020-10-30-Run2,3200,40.8,0.23445800989866256
1,128,13634,ses-2020-10-30-Run2,1000000000,40.8,0.23445800989866256
1,128,13634,ses-2020-11-18-Run1,200,4.0,0.03525031805038452
1,128,13634,ses-2020-11-18-Run1,400,8.0,0.10034525543451309
1,128,13634,ses-2020-11-18-Run1,800,16.0,0.10024676024913788
1,128,13634,ses-2020-11-18-Run1,1600,32.0,0.08859175890684128
1,128,13634,ses-2020-11-18-Run1,3200,40.3,0.09408142566680908
1,128,13634,ses-2020-11-18-Run1,1000000000,40.3,0.09408142566680908
1,128,13634,ses-2020-11-19-Run1,200,4.0,0.03397796079516411
1,128,13634,ses-2020-11-19-Run1,400,8.0,0.06257355324923992
1,128,13634,ses-2020-11-19-Run1,800,16.0,0.05416704714298248
1,128,13634,ses-2020-11-19-Run1,1600,32.0,0.05175890326499939
1,128,13634,ses-2020-11-19-Run1,3200,48.7,0.057015857100486754
1,128,13634,ses-2020-11-19-Run1,1000000000,48.7,0.057015857100486754
1,128,13634,ses-2020-11-24-Run1,200,4.0,0.009131593257188797
1,128,13634,ses-2020-11-24-Run1,400,8.0,0.04790416844189167
1,128,13634,ses-2020-11-24-Run1,800,16.0,0.05999125614762306
1,128,13634,ses-2020-11-24-Run1,1600,32.0,0.06575216576457024
1,128,13634,ses-2020-11-24-Run1,3200,35.4,0.0644543819129467
1,128,13634,ses-2020-11-24-Run1,1000000000,35.4,0.0644543819129467
1,128,13634,ses-2020-11-24-Run2,200,4.0,-0.08279135301709176
1,128,13634,ses-2020-11-24-Run2,400,8.0,-0.05171737689524889
1,128,13634,ses-2020-11-24-Run2,800,16.0,-0.055617066100239754
1,128,13634,ses-2020-11-24-Run2,1600,32.0,-0.04615726098418236
1,128,13634,ses-2020-11-24-Run2,3200,37.6,-0.05015053898096085
1,128,13634,ses-2020-11-24-Run2,1000000000,37.6,-0.05015053898096085
