config,seed,nparam,session,budget_frames,ref_raw_r2
plain,3,4130,ses-2020-10-30-Run2,400,0.3082812190055847
plain,3,4130,ses-2020-10-30-Run2,800,0.31156029403209684
plain,3,4130,ses-2020-10-30-Run2,1600,0.3093334466218948
plain,3,4130,ses-2020-10-30-Run2,3200,0.31094751954078675
plain,3,4130,ses-2020-10-30-Run2,1000000000,0.31094751954078675
plain,3,4130,ses-2020-11-18-Run1,200,0.21051506102085113
plain,3,4130,ses-2020-11-18-Run1,400,0.1699894204735756
plain,3,4130,ses-2020-11-18-Run1,800,0.216637459397316
plain,3,4130,ses-2020-11-18-Run1,1600,0.21264721006155013
plain,3,4130,ses-2020-11-18-Run1,3200,0.21168439388275145
plain,3,4130,ses-2020-11-18-Run1,1000000000,0.21168439388275145
plain,3,4130,ses-2020-11-19-Run1,200,0.13484837114810944
plain,3,4130,ses-2020-11-19-Run1,400,0.14416426941752433
plain,3,4130,ses-2020-11-19-Run1,800,0.13494259268045425
plain,3,4130,ses-2020-11-19-Run1,1600,0.13490699082612992
plain,3,4130,ses-2020-11-19-Run1,3200,0.13772910498082638
plain,3,4130,ses-2020-11-19-Run1,1000000000,0.13772910498082638
plain,3,4130,ses-2020-11-24-Run1,200,0.14423792958259582
plain,3,4130,ses-2020-11-24-Run1,400,0.1565478950738907
plain,3,4130,ses-2020-11-24-Run1,800,0.16003397703170777
plain,3,4130,ses-2020-11-24-Run1,1600,0.16759912371635438
plain,3,4130,ses-2020-11-24-Run1,3200,0.16710040271282195
plain,3,4130,ses-2020-11-24-Run1,1000000000,0.16710040271282195
plain,3,4130,ses-2020-11-24-Run2,200,0.03555475957691669
plain,3,4130,ses-2020-11-24-Run2,400,0.024122366681694984
plain,3,4130,ses-2020-11-24-Run2,800,0.02976183407008648
plain,3,4130,ses-2020-11-24-Run2,1600,0.022986391186714174
plain,3,4130,ses-2020-11-24-Run2,3200,0.021745442040264608
plain,3,4130,ses-2020-11-24-Run2,1000000000,0.021745442040264608
se,1,6542,ses-2020-10-30-Run1,200,0.39604813754558565
se,1,6542,ses-2020-10-30-Run1,400,0.3778435230255127
se,1,6542,ses-2020-10-30-Run1,800,0.3909204453229904
se,1,6542,ses-2020-10-30-Run1,1600,0.3889473468065262
se,1,6542,ses-2020-10-30-Run1,3200,0.3901259541511536
se,1,6542,ses-2020-10-30-Run1,1000000000,0.3901259541511536
