config,seed,nparam,session,budget_frames,calib_seconds,ref_raw_r2
se,3,6542,ses-2020-10-30-Run1,1000000000,43.6,0.4371692419052124
se,3,6542,ses-2020-10-30-Run2,200,4.0,0.3298284500837326
se,3,6542,ses-2020-10-30-Run2,400,8.0,0.35281281769275663
se,3,6542,ses-2020-10-30-Run2,800,16.0,0.34891830682754515
se,3,6542,ses-2020-10-30-Run2,1600,32.0,0.3516653567552567
se,3,6542,ses-2020-10-30-Run2,3200,40.8,0.353784903883934
se,3,6542,ses-2020-10-30-Run2,1000000000,40.8,0.353784903883934
se,3,6542,ses-2020-11-18-Run1,200,4.0,0.284526526927948
se,3,6542,ses-2020-11-18-Run1,400,8.0,0.27068478632718324
se,3,6542,ses-2020-11-18-Run1,800,16.0,0.2627972014248371
se,3,6542,ses-2020-11-18-Run1,1600,32.0,0.27231452157720926
se,3,6542,ses-2020-11-18-Run1,3200,40.3,0.27015647422522304
se,3,6542,ses-2020-11-18-Run1,1000000000,40.3,0.27015647422522304
se,3,6542,ses-2020-11-19-Run1,200,4.0,0.09645818658173085
se,3,6542,ses-2020-11-19-Run1,400,8.0,0.11007320322096348
se,3,6542,ses-2020-11-19-Run1,800,16.0,0.10568723008036614
se,3,6542,ses-2020-11-19-Run1,1600,32.0,0.10171674638986587
se,3,6542,ses-2020-11-19-Run1,3200,48.7,0.10327932126820087
se,3,6542,ses-2020-11-19-Run1,1000000000,48.7,0.10327932126820087
se,3,6542,ses-2020-11-24-Run1,200,4.0,0.14915140718221664
se,3,6542,ses-2020-11-24-Run1,400,8.0,0.14515895247459412
se,3,6542,ses-2020-11-24-Run1,800,16.0,0.15133551731705666
se,3,6542,ses-2020-11-24-Run1,1600,32.0,0.1596611812710762
se,3,6542,ses-2020-11-24-Run1,3200,35.4,0.15917705595493317
se,3,6542,ses-2020-11-24-Run1,1000000000,35.4,0.15917705595493317
se,3,6542,ses-2020-11-24-Run2,200,4.0,0.1103687345981598
se,3,6542,ses-2020-11-24-Run2,400,8.0,0.11390011310577393
se,3,6542,ses-2020-11-24-Run2,800,16.0,0.11616802662611007
se,3,6542,ses-2020-11-24-Run2,1600,32.0,0.11473805010318756
se,3,6542,ses-2020-11-24-Run2,3200,37.6,0.11688269674777985
se,3,6542,ses-2020-11-24-Run2,1000000000,37.6,0.11688269674777985
glu,1,7234,ses-2020-10-30-Run1,200,4.0,0.35985522866249087
glu,1,7234,ses-2020-10-30-Run1,400,8.0,0.3653563052415848
glu,1,7234,ses-2020-10-30-Run1,800,16.0,0.3669001698493958
glu,1,7234,ses-2020-10-30-Run1,1600,32.0,0.36307973861694337
glu,1,7234,ses-2020-10-30-Run1,3200,43.6,0.3634736776351929
glu,1,7234,ses-2020-10-30-Run1,1000000000,43.6,0.3634736776351929
glu,1,7234,ses-2020-10-30-Run2,200,4.0,0.28223361968994143
glu,1,7234,ses-2020-10-30-Run2,400,8.0,0.2916330754756927
glu,1,7234,ses-2020-10-30-Run2,800,16.0,0.279341259598732
glu,1,7234,ses-2020-10-30-Run2,1600,32.0,0.2837279200553894
glu,1,7234,ses-2020-10-30-Run2,3200,40.8,0.2857588827610016
glu,1,7234,ses-2020-10-30-Run2,1000000000,40.8,0.2857588827610016
glu,1,7234,ses-2020-11-18-Run1,200,4.0,0.165225088596344
glu,1,7234,ses-2020-11-18-Run1,400,8.0,0.16693895161151887
glu,1,7234,ses-2020-11-18-Run1,800,16.0,0.15007911026477813
glu,1,7234,ses-2020-11-18-Run1,1600,32.0,0.16172988414764405
glu,1,7234,ses-2020-11-18-Run1,3200,40.3,0.1597359836101532
glu,1,7234,ses-2020-11-18-Run1,1000000000,40.3,0.1597359836101532
glu,1,7234,ses-2020-11-19-Run1,200,4.0,0.03471644371747971
glu,1,7234,ses-2020-11-19-Run1,400,8.0,0.05286995861679315
glu,1,7234,ses-2020-11-19-Run1,800,16.0,0.04619563417509198
glu,1,7234,ses-2020-11-19-Run1,1600,32.0,0.05016924273222685
glu,1,7234,ses-2020-11-19-Run1,3200,48.7,0.05050023097428493
glu,1,7234,ses-2020-11-19-Run1,1000000000,48.7,0.05050023097428493
glu,1,7234,ses-2020-11-24-Run1,200,4.0,0.10367060601711273
glu,1,7234,ses-2020-11-24-Run1,400,8.0,0.1035540908575058
glu,1,7234,ses-2020-11-24-Run1,800,16.0,0.11581419706344605
glu,1,7234,ses-2020-11-24-Run1,1600,32.0,0.12290057837963105
glu,1,7234,ses-2020-11-24-Run1,3200,35.4,0.12188215255737304
glu,1,7234,ses-2020-11-24-Run1,1000000000,35.4,0.12188215255737304
glu,1,7234,ses-2020-11-24-Run2,200,4.0,-0.022038476169109346
glu,1,7234,ses-2020-11-24-Run2,400,8.0,-0.04521462693810463
glu,1,7234,ses-2020-11-24-Run2,800,16.0,-0.02765393927693367
glu,1,7234,ses-2020-11-24-Run2,1600,32.0,-0.0290675088763237
glu,1,7234,ses-2020-11-24-Run2,3200,37.6,-0.02684956565499306
glu,1,7234,ses-2020-11-24-Run2,1000000000,37.6,-0.02684956565499306
glu,2,7234,ses-2020-10-30-Run1,200,4.0,0.32596345245838165
glu,2,7234,ses-2020-10-30-Run1,400,8.0,0.33001760542392733
glu,2,7234,ses-2020-10-30-Run1,800,16.0,0.32967686653137207
glu,2,7234,ses-2020-10-30-Run1,1600,32.0,0.3277806282043457
glu,2,7234,ses-2020-10-30-Run1,3200,43.6,0.32815905213356017
glu,2,7234,ses-2020-10-30-Run1,1000000000,43.6,0.32815905213356017
glu,2,7234,ses-2020-10-30-Run2,200,4.0,0.1908446541056037
glu,2,7234,ses-2020-10-30-Run2,400,8.0,0.20586669323965906
glu,2,7234,ses-2020-10-30-Run2,800,16.0,0.1928921852260828
glu,2,7234,ses-2020-10-30-Run2,1600,32.0,0.19748445196892134
glu,2,7234,ses-2020-10-30-Run2,3200,40.8,0.2003813094459474
glu,2,7234,ses-2020-10-30-Run2,1000000000,40.8,0.2003813094459474
glu,2,7234,ses-2020-11-18-Run1,200,4.0,0.11270192563533783
glu,2,7234,ses-2020-11-18-Run1,400,8.0,0.11683891713619232
glu,2,7234,ses-2020-11-18-Run1,800,16.0,0.09515060782432556
glu,2,7234,ses-2020-11-18-Run1,1600,32.0,0.10849739015102386
glu,2,7234,ses-2020-11-18-Run1,3200,40.3,0.10708824396133423
glu,2,7234,ses-2020-11-18-Run1,1000000000,40.3,0.10708824396133423
glu,2,7234,ses-2020-11-19-Run1,200,4.0,-0.00600713100284338
glu,2,7234,ses-2020-11-19-Run1,400,8.0,-0.0063664393033832315
glu,2,7234,ses-2020-11-19-Run1,800,16.0,-0.005474221333861351
glu,2,7234,ses-2020-11-19-Run1,1600,32.0,-0.012106331065297127
glu,2,7234,ses-2020-11-19-Run1,3200,48.7,-0.008430280908942222
glu,2,7234,ses-2020-11-19-Run1,1000000000,48.7,-0.008430280908942222
glu,2,7234,ses-2020-11-24-Run1,200,4.0,-0.05093816742300987
glu,2,7234,ses-2020-11-24-Run1,400,8.0,-0.03370382487773895
glu,2,7234,ses-2020-11-24-Run1,800,16.0,-0.011501307785511016
glu,2,7234,ses-2020-11-24-Run1,1600,32.0,-0.005796606838703156
glu,2,7234,ses-2020-11-24-Run1,3200,35.4,-0.005237151682376861
glu,2,7234,ses-2020-11-24-Run1,1000000000,35.4,-0.005237151682376861
glu,2,7234,ses-2020-11-24-Run2,200,4.0,-0.09204024448990822
glu,2,7234,ses-2020-11-24-Run2,400,8.0,-0.12758539691567422
glu,2,7234,ses-2020-11-24-Run2,800,16.0,-0.10475683510303498
glu,2,7234,ses-2020-11-24-Run2,1600,32.0,-0.10619461759924889
glu,2,7234,ses-2020-11-24-Run2,3200,37.6,-0.1041975773870945
glu,2,7234,ses-2020-11-24-Run2,1000000000,37.6,-0.1041975773870945
glu,3,7234,ses-2020-10-30-Run1,200,4.0,0.368475204706192
glu,3,7234,ses-2020-10-30-Run1,400,8.0,0.3750462055206299
glu,3,7234,ses-2020-10-30-Run1,800,16.0,0.37099621295928953
glu,3,7234,ses-2020-10-30-Run1,1600,32.0,0.36811759173870084
glu,3,7234,ses-2020-10-30-Run1,3200,43.6,0.3684005230665207
glu,3,7234,ses-2020-10-30-Run1,1000000000,43.6,0.3684005230665207
glu,3,7234,ses-2020-10-30-Run2,200,4.0,0.23352957628667353
glu,3,7234,ses-2020-10-30-Run2,400,8.0,0.26042665988206865
glu,3,7234,ses-2020-10-30-Run2,800,16.0,0.24768630266189576
glu,3,7234,ses-2020-10-30-Run2,1600,32.0,0.257762548327446
glu,3,7234,ses-2020-10-30-Run2,3200,40.8,0.2586162582039833
glu,3,7234,ses-2020-10-30-Run2,1000000000,40.8,0.2586162582039833
glu,3,7234,ses-2020-11-18-Run1,200,4.0,0.23088934719562532
glu,3,7234,ses-2020-11-18-Run1,400,8.0,0.21937074065208434
glu,3,7234,ses-2020-11-18-Run1,800,16.0,0.20253242552280426
glu,3,7234,ses-2020-11-18-Run1,1600,32.0,0.21787177324295043
glu,3,7234,ses-2020-11-18-Run1,3200,40.3,0.21459368467330933
glu,3,7234,ses-2020-11-18-Run1,1000000000,40.3,0.21459368467330933
glu,3,7234,ses-2020-11-19-Run1,200,4.0,0.028334536403417588
glu,3,7234,ses-2020-11-19-Run1,400,8.0,0.06376349478960038
glu,3,7234,ses-2020-11-19-Run1,800,16.0,0.05376982092857361
glu,3,7234,ses-2020-11-19-Run1,1600,32.0,0.05153693221509457
glu,3,7234,ses-2020-11-19-Run1,3200,48.7,0.05472240764647722
glu,3,7234,ses-2020-11-19-Run1,1000000000,48.7,0.05472240764647722
glu,3,7234,ses-2020-11-24-Run1,200,4.0,0.0845266193151474
glu,3,7234,ses-2020-11-24-Run1,400,8.0,0.0900717943906784
glu,3,7234,ses-2020-11-24-Run1,800,16.0,0.10198578834533692
glu,3,7234,ses-2020-11-24-Run1,1600,32.0,0.11297244131565094
glu,3,7234,ses-2020-11-24-Run1,3200,35.4,0.11136670708656311
glu,3,7234,ses-2020-11-24-Run1,1000000000,35.4,0.11136670708656311
glu,3,7234,ses-2020-11-24-Run2,200,4.0,-0.04032518118619919
glu,3,7234,ses-2020-11-24-Run2,400,8.0,-0.05492289811372757
glu,3,7234,ses-2020-11-24-Run2,800,16.0,-0.027866189181804658
glu,3,7234,ses-2020-11-24-Run2,1600,32.0,-0.036872904002666476
glu,3,7234,ses-2020-11-24-Run2,3200,37.6,-0.033913249522447585
glu,3,7234,ses-2020-11-24-Run2,1000000000,37.6,-0.033913249522447585
