config,rf,seed,nparam,session,budget_frames,calib_seconds,ref_raw_r2
d1,9,1,4130,ses-2020-11-24-Run1,1000000000,35.4,0.0002533972263336182
d1,9,1,4130,ses-2020-11-24-Run2,200,4.0,-0.032715875655412674
d1,9,1,4130,ses-2020-11-24-Run2,400,8.0,-0.05684892609715462
d1,9,1,4130,ses-2020-11-24-Run2,800,16.0,-0.02134268027730286
d1,9,1,4130,ses-2020-11-24-Run2,1600,32.0,-0.030558638088405133
d1,9,1,4130,ses-2020-11-24-Run2,3200,37.6,-0.030046762712299824
d1,9,1,4130,ses-2020-11-24-Run2,1000000000,37.6,-0.030046762712299824
d1,9,2,4130,ses-2020-10-30-Run1,200,4.0,0.3629934459924698
d1,9,2,4130,ses-2020-10-30-Run1,400,8.0,0.3797319620847702
d1,9,2,4130,ses-2020-10-30-Run1,800,16.0,0.38286103010177613
d1,9,2,4130,ses-2020-10-30-Run1,1600,32.0,0.3828095257282257
d1,9,2,4130,ses-2020-10-30-Run1,3200,43.6,0.3831695169210434
d1,9,2,4130,ses-2020-10-30-Run1,1000000000,43.6,0.3831695169210434
d1,9,2,4130,ses-2020-10-30-Run2,200,4.0,0.28429541289806365
d1,9,2,4130,ses-2020-10-30-Run2,400,8.0,0.29430464208126067
d1,9,2,4130,ses-2020-10-30-Run2,800,16.0,0.28818109035491946
d1,9,2,4130,ses-2020-10-30-Run2,1600,32.0,0.2824407577514648
d1,9,2,4130,ses-2020-10-30-Run2,3200,40.8,0.2874479413032532
d1,9,2,4130,ses-2020-10-30-Run2,1000000000,40.8,0.2874479413032532
d1,9,2,4130,ses-2020-11-18-Run1,200,4.0,0.1491595685482025
d1,9,2,4130,ses-2020-11-18-Run1,400,8.0,0.22801452577114106
d1,9,2,4130,ses-2020-11-18-Run1,800,16.0,0.21742991209030152
d1,9,2,4130,ses-2020-11-18-Run1,1600,32.0,0.21269424855709076
d1,9,2,4130,ses-2020-11-18-Run1,3200,40.3,0.21275964081287385
d1,9,2,4130,ses-2020-11-18-Run1,1000000000,40.3,0.21275964081287385
d1,9,2,4130,ses-2020-11-19-Run1,200,4.0,0.09090480878949166
d1,9,2,4130,ses-2020-11-19-Run1,400,8.0,0.052600303292274476
d1,9,2,4130,ses-2020-11-19-Run1,800,16.0,0.09886335395276546
d1,9,2,4130,ses-2020-11-19-Run1,1600,32.0,0.09515165279153734
d1,9,2,4130,ses-2020-11-19-Run1,3200,48.7,0.09682146359700709
d1,9,2,4130,ses-2020-11-19-Run1,1000000000,48.7,0.09682146359700709
d1,9,2,4130,ses-2020-11-24-Run1,200,4.0,0.1355327382683754
d1,9,2,4130,ses-2020-11-24-Run1,400,8.0,0.13322096765041352
d1,9,2,4130,ses-2020-11-24-Run1,800,16.0,0.1339188814163208
d1,9,2,4130,ses-2020-11-24-Run1,1600,32.0,0.1340218409895897
d1,9,2,4130,ses-2020-11-24-Run1,3200,35.4,0.13442294299602509
d1,9,2,4130,ses-2020-11-24-Run1,1000000000,35.4,0.13442294299602509
d1,9,2,4130,ses-2020-11-24-Run2,200,4.0,0.004944166541099549
d1,9,2,4130,ses-2020-11-24-Run2,400,8.0,0.010713987704366445
d1,9,2,4130,ses-2020-11-24-Run2,800,16.0,0.029763642977923156
d1,9,2,4130,ses-2020-11-24-Run2,1600,32.0,0.02214847686700523
d1,9,2,4130,ses-2020-11-24-Run2,3200,37.6,0.02265350131201558
d1,9,2,4130,ses-2020-11-24-Run2,1000000000,37.6,0.02265350131201558
d1,9,3,4130,ses-2020-10-30-Run1,200,4.0,0.37594041526317595
d1,9,3,4130,ses-2020-10-30-Run1,400,8.0,0.3859329462051392
d1,9,3,4130,ses-2020-10-30-Run1,800,16.0,0.38843223750591277
d1,9,3,4130,ses-2020-10-30-Run1,1600,32.0,0.39184930324554446
d1,9,3,4130,ses-2020-10-30-Run1,3200,43.6,0.39157562851905825
d1,9,3,4130,ses-2020-10-30-Run1,1000000000,43.6,0.39157562851905825
d1,9,3,4130,ses-2020-10-30-Run2,200,4.0,0.3397915750741959
d1,9,3,4130,ses-2020-10-30-Run2,400,8.0,0.355351585149765
d1,9,3,4130,ses-2020-10-30-Run2,800,16.0,0.353950634598732
d1,9,3,4130,ses-2020-10-30-Run2,1600,32.0,0.34796628952026365
d1,9,3,4130,ses-2020-10-30-Run2,3200,40.8,0.35259219706058503
d1,9,3,4130,ses-2020-10-30-Run2,1000000000,40.8,0.35259219706058503
d1,9,3,4130,ses-2020-11-18-Run1,200,4.0,0.13040906190872192
d1,9,3,4130,ses-2020-11-18-Run1,400,8.0,0.17961761355400085
d1,9,3,4130,ses-2020-11-18-Run1,800,16.0,0.18026102483272552
d1,9,3,4130,ses-2020-11-18-Run1,1600,32.0,0.18208895325660707
d1,9,3,4130,ses-2020-11-18-Run1,3200,40.3,0.18117445707321167
d1,9,3,4130,ses-2020-11-18-Run1,1000000000,40.3,0.18117445707321167
d1,9,3,4130,ses-2020-11-19-Run1,200,4.0,0.13345228396356107
d1,9,3,4130,ses-2020-11-19-Run1,400,8.0,0.0886426292359829
d1,9,3,4130,ses-2020-11-19-Run1,800,16.0,0.12480245232582092
d1,9,3,4130,ses-2020-11-19-Run1,1600,32.0,0.12422652505338191
d1,9,3,4130,ses-2020-11-19-Run1,3200,48.7,0.12517725117504597
d1,9,3,4130,ses-2020-11-19-Run1,1000000000,48.7,0.12517725117504597
d1,9,3,4130,ses-2020-11-24-Run1,200,4.0,0.07382364710792899
d1,9,3,4130,ses-2020-11-24-Run1,400,8.0,0.09052637368440627
d1,9,3,4130,ses-2020-11-24-Run1,800,16.0,0.08334091082215309
d1,9,3,4130,ses-2020-11-24-Run1,1600,32.0,0.08496776968240738
d1,9,3,4130,ses-2020-11-24-Run1,3200,35.4,0.0866383209824562
d1,9,3,4130,ses-2020-11-24-Run1,1000000000,35.4,0.0866383209824562
d1,9,3,4130,ses-2020-11-24-Run2,200,4.0,0.0097930908203125
d1,9,3,4130,ses-2020-11-24-Run2,400,8.0,-0.001550877094268799
d1,9,3,4130,ses-2020-11-24-Run2,800,16.0,0.028172942996025085
d1,9,3,4130,ses-2020-11-24-Run2,1600,32.0,0.021722856163978576
d1,9,3,4130,ses-2020-11-24-Run2,3200,37.6,0.021072188019752504
d1,9,3,4130,ses-2020-11-24-Run2,1000000000,37.6,0.021072188019752504
d3_plain,25,1,6050,ses-2020-10-30-Run1,200,4.0,0.03679596232250333
d3_plain,25,1,6050,ses-2020-10-30-Run1,400,8.0,0.03510574996471405
d3_plain,25,1,6050,ses-2020-10-30-Run1,800,16.0,0.03935113325715065
d3_plain,25,1,6050,ses-2020-10-30-Run1,1600,32.0,0.039023055136203764
d3_plain,25,1,6050,ses-2020-10-30-Run1,3200,43.6,0.03782395273447037
d3_plain,25,1,6050,ses-2020-10-30-Run1,1000000000,43.6,0.03782395273447037
d3_plain,25,1,6050,ses-2020-10-30-Run2,200,4.0,-0.012566712871193885
d3_plain,25,1,6050,ses-2020-10-30-Run2,400,8.0,-0.00990405585616827
d3_plain,25,1,6050,ses-2020-10-30-Run2,800,16.0,-0.01467509549111128
d3_plain,25,1,6050,ses-2020-10-30-Run2,1600,32.0,-0.012279762141406535
d3_plain,25,1,6050,ses-2020-10-30-Run2,3200,40.8,-0.01108672535046935
d3_plain,25,1,6050,ses-2020-10-30-Run2,1000000000,40.8,-0.01108672535046935
d3_plain,25,1,6050,ses-2020-11-18-Run1,200,4.0,0.032434988860040904
d3_plain,25,1,6050,ses-2020-11-18-Run1,400,8.0,0.05171559937298298
d3_plain,25,1,6050,ses-2020-11-18-Run1,800,16.0,0.0550358971580863
d3_plain,25,1,6050,ses-2020-11-18-Run1,1600,32.0,0.054000289924442765
d3_plain,25,1,6050,ses-2020-11-18-Run1,3200,40.3,0.054512036591768266
d3_plain,25,1,6050,ses-2020-11-18-Run1,1000000000,40.3,0.054512036591768266
d3_plain,25,1,6050,ses-2020-11-19-Run1,200,4.0,0.11973037421703339
d3_plain,25,1,6050,ses-2020-11-19-Run1,400,8.0,0.11388651877641678
d3_plain,25,1,6050,ses-2020-11-19-Run1,800,16.0,0.121438530087471
d3_plain,25,1,6050,ses-2020-11-19-Run1,1600,32.0,0.12401093989610672
d3_plain,25,1,6050,ses-2020-11-19-Run1,3200,48.7,0.12409289330244064
d3_plain,25,1,6050,ses-2020-11-19-Run1,1000000000,48.7,0.12409289330244064
d3_plain,25,1,6050,ses-2020-11-24-Run1,200,4.0,0.15824919156730174
d3_plain,25,1,6050,ses-2020-11-24-Run1,400,8.0,0.1667453546077013
d3_plain,25,1,6050,ses-2020-11-24-Run1,800,16.0,0.1667944971472025
d3_plain,25,1,6050,ses-2020-11-24-Run1,1600,32.0,0.166788899153471
d3_plain,25,1,6050,ses-2020-11-24-Run1,3200,35.4,0.16645765379071237
d3_plain,25,1,6050,ses-2020-11-24-Run1,1000000000,35.4,0.16645765379071237
d3_plain,25,1,6050,ses-2020-11-24-Run2,200,4.0,-0.08834714442491531
d3_plain,25,1,6050,ses-2020-11-24-Run2,400,8.0,-0.0948345646262169
d3_plain,25,1,6050,ses-2020-11-24-Run2,800,16.0,-0.08648654595017433
d3_plain,25,1,6050,ses-2020-11-24-Run2,1600,32.0,-0.08788963705301285
d3_plain,25,1,6050,ses-2020-11-24-Run2,3200,37.6,-0.08753030151128768
d3_plain,25,1,6050,ses-2020-11-24-Run2,1000000000,37.6,-0.08753030151128768
d3_plain,25,2,6050,ses-2020-10-30-Run1,200,4.0,-0.01138896563788876
d3_plain,25,2,6050,ses-2020-10-30-Run1,400,8.0,-0.008700360893271863
d3_plain,25,2,6050,ses-2020-10-30-Run1,800,16.0,-0.009201116161420941
d3_plain,25,2,6050,ses-2020-10-30-Run1,1600,32.0,-0.009024237119592726
d3_plain,25,2,6050,ses-2020-10-30-Run1,3200,43.6,-0.009142168797552586
d3_plain,25,2,6050,ses-2020-10-30-Run1,1000000000,43.6,-0.009142168797552586
d3_plain,25,2,6050,ses-2020-10-30-Run2,200,4.0,0.00900706930551678
d3_plain,25,2,6050,ses-2020-10-30-Run2,400,8.0,0.008317239815369248
d3_plain,25,2,6050,ses-2020-10-30-Run2,800,16.0,0.008527437172597274
d3_plain,25,2,6050,ses-2020-10-30-Run2,1600,32.0,0.008305483610214992
d3_plain,25,2,6050,ses-2020-10-30-Run2,3200,40.8,0.008371709541097516
d3_plain,25,2,6050,ses-2020-10-30-Run2,1000000000,40.8,0.008371709541097516
d3_plain,25,2,6050,ses-2020-11-18-Run1,200,4.0,-0.010722144413739443
d3_plain,25,2,6050,ses-2020-11-18-Run1,400,8.0,-0.011401908239349723
d3_plain,25,2,6050,ses-2020-11-18-Run1,800,16.0,-0.01113204243592918
d3_plain,25,2,6050,ses-2020-11-18-Run1,1600,32.0,-0.011014048336073756
d3_plain,25,2,6050,ses-2020-11-18-Run1,3200,40.3,-0.01090071047656238
d3_plain,25,2,6050,ses-2020-11-18-Run1,1000000000,40.3,-0.01090071047656238
d3_plain,25,2,6050,ses-2020-11-19-Run1,200,4.0,-0.004232113203033805
d3_plain,25,2,6050,ses-2020-11-19-Run1,400,8.0,-0.0066827853675931696
d3_plain,25,2,6050,ses-2020-11-19-Run1,800,16.0,-0.00630847365828231
d3_plain,25,2,6050,ses-2020-11-19-Run1,1600,32.0,-0.006083138374378905
d3_plain,25,2,6050,ses-2020-11-19-Run1,3200,48.7,-0.005800913608982228
d3_plain,25,2,6050,ses-2020-11-19-Run1,1000000000,48.7,-0.005800913608982228
d3_plain,25,2,6050,ses-2020-11-24-Run1,200,4.0,-0.01962094530463219
d3_plain,25,2,6050,ses-2020-11-24-Run1,400,8.0,-0.018914195708930492
d3_plain,25,2,6050,ses-2020-11-24-Run1,800,16.0,-0.019064504466950894
d3_plain,25,2,6050,ses-2020-11-24-Run1,1600,32.0,-0.019601401314139365
d3_plain,25,2,6050,ses-2020-11-24-Run1,3200,35.4,-0.01950226668268442
d3_plain,25,2,6050,ses-2020-11-24-Run1,1000000000,35.4,-0.01950226668268442
d3_plain,25,2,6050,ses-2020-11-24-Run2,200,4.0,-0.005197219643741846
d3_plain,25,2,6050,ses-2020-11-24-Run2,400,8.0,-0.005566024873405695
d3_plain,25,2,6050,ses-2020-11-24-Run2,800,16.0,-0.006768423970788718
d3_plain,25,2,6050,ses-2020-11-24-Run2,1600,32.0,-0.006147084198892117
d3_plain,25,2,6050,ses-2020-11-24-Run2,3200,37.6,-0.006123359128832817
d3_plain,25,2,6050,ses-2020-11-24-Run2,1000000000,37.6,-0.006123359128832817
d3_plain,25,3,6050,ses-2020-10-30-Run1,200,4.0,0.14908977150917052
d3_plain,25,3,6050,ses-2020-10-30-Run1,400,8.0,0.15223459769040346
d3_plain,25,3,6050,ses-2020-10-30-Run1,800,16.0,0.15622429605573415
d3_plain,25,3,6050,ses-2020-10-30-Run1,1600,32.0,0.15247898567467927
d3_plain,25,3,6050,ses-2020-10-30-Run1,3200,43.6,0.15402274448424577
d3_plain,25,3,6050,ses-2020-10-30-Run1,1000000000,43.6,0.15402274448424577
d3_plain,25,3,6050,ses-2020-10-30-Run2,200,4.0,0.1960683986544609
d3_plain,25,3,6050,ses-2020-10-30-Run2,400,8.0,0.19915992617607117
d3_plain,25,3,6050,ses-2020-10-30-Run2,800,16.0,0.2052089527249336
d3_plain,25,3,6050,ses-2020-10-30-Run2,1600,32.0,0.20087261795997619
d3_plain,25,3,6050,ses-2020-10-30-Run2,3200,40.8,0.20095617324113846
d3_plain,25,3,6050,ses-2020-10-30-Run2,1000000000,40.8,0.20095617324113846
d3_plain,25,3,6050,ses-2020-11-18-Run1,200,4.0,0.051854698732495305
d3_plain,25,3,6050,ses-2020-11-18-Run1,400,8.0,0.058975967578589916
d3_plain,25,3,6050,ses-2020-11-18-Run1,800,16.0,0.06602022871375084
d3_plain,25,3,6050,ses-2020-11-18-Run1,1600,32.0,0.06532577015459537
d3_plain,25,3,6050,ses-2020-11-18-Run1,3200,40.3,0.06517799627035856
d3_plain,25,3,6050,ses-2020-11-18-Run1,1000000000,40.3,0.06517799627035856
d3_plain,25,3,6050,ses-2020-11-19-Run1,200,4.0,-0.004487955197691918
d3_plain,25,3,6050,ses-2020-11-19-Run1,400,8.0,-0.017794429790228605
d3_plain,25,3,6050,ses-2020-11-19-Run1,800,16.0,-0.002341403253376484
d3_plain,25,3,6050,ses-2020-11-19-Run1,1600,32.0,0.0007172036916017532
d3_plain,25,3,6050,ses-2020-11-19-Run1,3200,48.7,0.00035533495247364044
d3_plain,25,3,6050,ses-2020-11-19-Run1,1000000000,48.7,0.00035533495247364044
d3_plain,25,3,6050,ses-2020-11-24-Run1,200,4.0,-0.011010004580020905
d3_plain,25,3,6050,ses-2020-11-24-Run1,400,8.0,-0.015905036218464376
d3_plain,25,3,6050,ses-2020-11-24-Run1,800,16.0,-0.01681492365896702
d3_plain,25,3,6050,ses-2020-11-24-Run1,1600,32.0,-0.010843275859951974
d3_plain,25,3,6050,ses-2020-11-24-Run1,3200,35.4,-0.011010636948049069
d3_plain,25,3,6050,ses-2020-11-24-Run1,1000000000,35.4,-0.011010636948049069
d3_plain,25,3,6050,ses-2020-11-24-Run2,200,4.0,-0.04876231551170349
d3_plain,25,3,6050,ses-2020-11-24-Run2,400,8.0,-0.04894412998110056
d3_plain,25,3,6050,ses-2020-11-24-Run2,800,16.0,-0.040952089428901675
d3_plain,25,3,6050,ses-2020-11-24-Run2,1600,32.0,-0.0422076229006052
d3_plain,25,3,6050,ses-2020-11-24-Run2,3200,37.6,-0.04300674069672823
d3_plain,25,3,6050,ses-2020-11-24-Run2,1000000000,37.6,-0.04300674069672823
d3_dil,57,1,6050,ses-2020-10-30-Run1,200,4.0,0.03296679649502039
d3_dil,57,1,6050,ses-2020-10-30-Run1,400,8.0,0.03215315714478493
d3_dil,57,1,6050,ses-2020-10-30-Run1,800,16.0,0.041023393534123896
d3_dil,57,1,6050,ses-2020-10-30-Run1,1600,32.0,0.036540445685386655
d3_dil,57,1,6050,ses-2020-10-30-Run1,3200,43.6,0.03717086911201477
d3_dil,57,1,6050,ses-2020-10-30-Run1,1000000000,43.6,0.03717086911201477
d3_dil,57,1,6050,ses-2020-10-30-Run2,200,4.0,0.072968141711317
d3_dil,57,1,6050,ses-2020-10-30-Run2,400,8.0,0.07861249186098576
d3_dil,57,1,6050,ses-2020-10-30-Run2,800,16.0,0.08289787881076335
d3_dil,57,1,6050,ses-2020-10-30-Run2,1600,32.0,0.08645408675074577
d3_dil,57,1,6050,ses-2020-10-30-Run2,3200,40.8,0.08586574643850327
d3_dil,57,1,6050,ses-2020-10-30-Run2,1000000000,40.8,0.08586574643850327
d3_dil,57,1,6050,ses-2020-11-18-Run1,200,4.0,0.002671620133332908
d3_dil,57,1,6050,ses-2020-11-18-Run1,400,8.0,0.026545993983745575
d3_dil,57,1,6050,ses-2020-11-18-Run1,800,16.0,0.031256493926048276
d3_dil,57,1,6050,ses-2020-11-18-Run1,1600,32.0,0.030674007441848516
d3_dil,57,1,6050,ses-2020-11-18-Run1,3200,40.3,0.031556909531354906
d3_dil,57,1,6050,ses-2020-11-18-Run1,1000000000,40.3,0.031556909531354906
d3_dil,57,1,6050,ses-2020-11-19-Run1,200,4.0,0.0974307871889323
d3_dil,57,1,6050,ses-2020-11-19-Run1,400,8.0,0.08124304730445146
d3_dil,57,1,6050,ses-2020-11-19-Run1,800,16.0,0.08530451282858849
d3_dil,57,1,6050,ses-2020-11-19-Run1,1600,32.0,0.09112782552838325
d3_dil,57,1,6050,ses-2020-11-19-Run1,3200,48.7,0.08832555282860995
d3_dil,57,1,6050,ses-2020-11-19-Run1,1000000000,48.7,0.08832555282860995
d3_dil,57,1,6050,ses-2020-11-24-Run1,200,4.0,-0.07791876941919326
d3_dil,57,1,6050,ses-2020-11-24-Run1,400,8.0,-0.057311372458934785
d3_dil,57,1,6050,ses-2020-11-24-Run1,800,16.0,-0.06516633331775665
d3_dil,57,1,6050,ses-2020-11-24-Run1,1600,32.0,-0.06469305045902729
d3_dil,57,1,6050,ses-2020-11-24-Run1,3200,35.4,-0.0648661881685257
d3_dil,57,1,6050,ses-2020-11-24-Run1,1000000000,35.4,-0.0648661881685257
d3_dil,57,1,6050,ses-2020-11-24-Run2,200,4.0,-0.05068211555480957
d3_dil,57,1,6050,ses-2020-11-24-Run2,400,8.0,-0.05042873434722424
d3_dil,57,1,6050,ses-2020-11-24-Run2,800,16.0,-0.041595139913260935
d3_dil,57,1,6050,ses-2020-11-24-Run2,1600,32.0,-0.041423019394278525
d3_dil,57,1,6050,ses-2020-11-24-Run2,3200,37.6,-0.04137924034148455
d3_dil,57,1,6050,ses-2020-11-24-Run2,1000000000,37.6,-0.04137924034148455
d3_dil,57,2,6050,ses-2020-10-30-Run1,200,4.0,0.07913857693201862
d3_dil,57,2,6050,ses-2020-10-30-Run1,400,8.0,0.07519137039780617
d3_dil,57,2,6050,ses-2020-10-30-Run1,800,16.0,0.08416381422430277
d3_dil,57,2,6050,ses-2020-10-30-Run1,1600,32.0,0.08068106323480606
d3_dil,57,2,6050,ses-2020-10-30-Run1,3200,43.6,0.08128509670495987
d3_dil,57,2,6050,ses-2020-10-30-Run1,1000000000,43.6,0.08128509670495987
d3_dil,57,2,6050,ses-2020-10-30-Run2,200,4.0,0.0073629777878522875
d3_dil,57,2,6050,ses-2020-10-30-Run2,400,8.0,0.01239732839167118
d3_dil,57,2,6050,ses-2020-10-30-Run2,800,16.0,0.015683662518858908
d3_dil,57,2,6050,ses-2020-10-30-Run2,1600,32.0,0.01188087984919548
d3_dil,57,2,6050,ses-2020-10-30-Run2,3200,40.8,0.015046366676688194
d3_dil,57,2,6050,ses-2020-10-30-Run2,1000000000,40.8,0.015046366676688194
d3_dil,57,2,6050,ses-2020-11-18-Run1,200,4.0,-9.497310966253281e-05
d3_dil,57,2,6050,ses-2020-11-18-Run1,400,8.0,0.008890380337834358
d3_dil,57,2,6050,ses-2020-11-18-Run1,800,16.0,0.002601955458521843
d3_dil,57,2,6050,ses-2020-11-18-Run1,1600,32.0,0.0037784047424793245
d3_dil,57,2,6050,ses-2020-11-18-Run1,3200,40.3,0.005424768850207329
d3_dil,57,2,6050,ses-2020-11-18-Run1,1000000000,40.3,0.005424768850207329
d3_dil,57,2,6050,ses-2020-11-19-Run1,200,4.0,-0.009996931999921799
d3_dil,57,2,6050,ses-2020-11-19-Run1,400,8.0,-0.024134999513626097
d3_dil,57,2,6050,ses-2020-11-19-Run1,800,16.0,-0.017837366089224815
d3_dil,57,2,6050,ses-2020-11-19-Run1,1600,32.0,-0.018614986538887025
d3_dil,57,2,6050,ses-2020-11-19-Run1,3200,48.7,-0.01789625585079193
d3_dil,57,2,6050,ses-2020-11-19-Run1,1000000000,48.7,-0.01789625585079193
d3_dil,57,2,6050,ses-2020-11-24-Run1,200,4.0,-0.00045479945838451387
d3_dil,57,2,6050,ses-2020-11-24-Run1,400,8.0,-9.083114564418792e-05
d3_dil,57,2,6050,ses-2020-11-24-Run1,800,16.0,0.0006692487746477127
d3_dil,57,2,6050,ses-2020-11-24-Run1,1600,32.0,0.0020322792232036592
d3_dil,57,2,6050,ses-2020-11-24-Run1,3200,35.4,0.002119230106472969
d3_dil,57,2,6050,ses-2020-11-24-Run1,1000000000,35.4,0.002119230106472969
d3_dil,57,2,6050,ses-2020-11-24-Run2,200,4.0,-0.02870931923389435
d3_dil,57,2,6050,ses-2020-11-24-Run2,400,8.0,-0.031493407860398295
d3_dil,57,2,6050,ses-2020-11-24-Run2,800,16.0,-0.03183358162641525
d3_dil,57,2,6050,ses-2020-11-24-Run2,1600,32.0,-0.03524102792143822
d3_dil,57,2,6050,ses-2020-11-24-Run2,3200,37.6,-0.034364905580878256
d3_dil,57,2,6050,ses-2020-11-24-Run2,1000000000,37.6,-0.034364905580878256
d3_dil,57,3,6050,ses-2020-10-30-Run1,200,4.0,0.03416063003242016
d3_dil,57,3,6050,ses-2020-10-30-Run1,400,8.0,0.03786290399730206
d3_dil,57,3,6050,ses-2020-10-30-Run1,800,16.0,0.05519297234714031
d3_dil,57,3,6050,ses-2020-10-30-Run1,1600,32.0,0.05023888312280178
d3_dil,57,3,6050,ses-2020-10-30-Run1,3200,43.6,0.052088113501667976
d3_dil,57,3,6050,ses-2020-10-30-Run1,1000000000,43.6,0.052088113501667976
d3_dil,57,3,6050,ses-2020-10-30-Run2,200,4.0,-0.0066357989795506
d3_dil,57,3,6050,ses-2020-10-30-Run2,400,8.0,-0.0012612513266503811
d3_dil,57,3,6050,ses-2020-10-30-Run2,800,16.0,0.0056853818241506815
d3_dil,57,3,6050,ses-2020-10-30-Run2,1600,32.0,-0.0019251389428973198
d3_dil,57,3,6050,ses-2020-10-30-Run2,3200,40.8,0.0026100043440237643
d3_dil,57,3,6050,ses-2020-10-30-Run2,1000000000,40.8,0.0026100043440237643
d3_dil,57,3,6050,ses-2020-11-18-Run1,200,4.0,-0.057863400131464
d3_dil,57,3,6050,ses-2020-11-18-Run1,400,8.0,-0.024435791373252868
d3_dil,57,3,6050,ses-2020-11-18-Run1,800,16.0,-0.033315743878483774
d3_dil,57,3,6050,ses-2020-11-18-Run1,1600,32.0,-0.029037892073392867
d3_dil,57,3,6050,ses-2020-11-18-Run1,3200,40.3,-0.027102315053343772
d3_dil,57,3,6050,ses-2020-11-18-Run1,1000000000,40.3,-0.027102315053343772
d3_dil,57,3,6050,ses-2020-11-19-Run1,200,4.0,-0.13625464495271444
d3_dil,57,3,6050,ses-2020-11-19-Run1,400,8.0,-0.18324242283124476
d3_dil,57,3,6050,ses-2020-11-19-Run1,800,16.0,-0.159989845007658
d3_dil,57,3,6050,ses-2020-11-19-Run1,1600,32.0,-0.14465640895068646
d3_dil,57,3,6050,ses-2020-11-19-Run1,3200,48.7,-0.14959880001842976
d3_dil,57,3,6050,ses-2020-11-19-Run1,1000000000,48.7,-0.14959880001842976
d3_dil,57,3,6050,ses-2020-11-24-Run1,200,4.0,0.12122834026813507
d3_dil,57,3,6050,ses-2020-11-24-Run1,400,8.0,0.11968371011316777
d3_dil,57,3,6050,ses-2020-11-24-Run1,800,16.0,0.12415305785834789
d3_dil,57,3,6050,ses-2020-11-24-Run1,1600,32.0,0.12689989022910594
d3_dil,57,3,6050,ses-2020-11-24-Run1,3200,35.4,0.1267430953681469
d3_dil,57,3,6050,ses-2020-11-24-Run1,1000000000,35.4,0.1267430953681469
d3_dil,57,3,6050,ses-2020-11-24-Run2,200,4.0,-0.04313546866178512
d3_dil,57,3,6050,ses-2020-11-24-Run2,400,8.0,-0.056540943682193756
d3_dil,57,3,6050,ses-2020-11-24-Run2,800,16.0,-0.04725045263767243
d3_dil,57,3,6050,ses-2020-11-24-Run2,1600,32.0,-0.04913476705551147
d3_dil,57,3,6050,ses-2020-11-24-Run2,3200,37.6,-0.0485808402299881
d3_dil,57,3,6050,ses-2020-11-24-Run2,1000000000,37.6,-0.0485808402299881
d3_res,57,1,6050,ses-2020-10-30-Run1,200,4.0,0.39030601382255553
d3_res,57,1,6050,ses-2020-10-30-Run1,400,8.0,0.3921917974948883
d3_res,57,1,6050,ses-2020-10-30-Run1,800,16.0,0.3950890779495239
d3_res,57,1,6050,ses-2020-10-30-Run1,1600,32.0,0.39651172161102294
d3_res,57,1,6050,ses-2020-10-30-Run1,3200,43.6,0.39579317569732664
