session_a,session_b,date_a,date_b,split_a,split_b,days,nunits_a,nunits_b,kernel_cosine_similarity,mmd2,mmd2_unclipped
sub-C_ses-CO-20150630,sub-C_ses-CO-20150708,20150630,20150708,train,train,8,44,64,0.987651573684691,0.013178189770348903,0.013178189770348903
sub-C_ses-CO-20150630,sub-C_ses-CO-20150709,20150630,20150709,train,train,9,44,61,0.9835531328505057,0.01900469437438046,0.01900469437438046
sub-C_ses-CO-20150630,sub-C_ses-CO-20150710,20150630,20150710,train,train,10,44,55,0.9867321130902909,0.015406028654766146,0.015406028654766146
sub-C_ses-CO-20150630,sub-C_ses-CO-20150713,20150630,20150713,train,train,13,44,58,0.9852475915185023,0.016020346028022603,0.016020346028022603
sub-C_ses-CO-20150630,sub-C_ses-CO-20150714,20150630,20150714,train,train,14,44,66,0.9915372257031786,0.009186868566973594,0.009186868566973594
sub-C_ses-CO-20150630,sub-C_ses-CO-20150715,20150630,20150715,train,train,15,44,60,0.985408649321423,0.017110017935719313,0.017110017935719313
sub-C_ses-CO-20150630,sub-C_ses-CO-20150716,20150630,20150716,train,train,16,44,61,0.9911702284076781,0.009931418540650494,0.009931418540650494
sub-C_ses-CO-20150630,sub-C_ses-CO-20151103,20150630,20151103,train,dev,126,44,38,0.9849523510831938,0.016699343220080376,0.016699343220080376
sub-C_ses-CO-20150630,sub-C_ses-CO-20151104,20150630,20151104,train,dev,127,44,59,0.9871630763003241,0.013934598816354615,0.013934598816354615
sub-C_ses-CO-20150630,sub-C_ses-CO-20151106,20150630,20151106,train,dev,129,44,60,0.9805896555277849,0.020927337800212165,0.020927337800212165
sub-C_ses-CO-20150630,sub-C_ses-CO-20151109,20150630,20151109,train,dev,132,44,65,0.9791784788486962,0.022103791274535878,0.022103791274535878
sub-C_ses-CO-20150630,sub-C_ses-CO-20151110,20150630,20151110,train,dev,133,44,61,0.9834784594902671,0.017839136057862248,0.017839136057862248
sub-C_ses-CO-20150630,sub-C_ses-CO-20151112,20150630,20151112,train,dev,135,44,42,0.9677443016901907,0.03668645395943093,0.03668645395943093
sub-C_ses-CO-20150701,sub-C_ses-CO-20150703,20150701,20150703,train,train,2,49,52,0.9955621576429213,0.004905816298049093,0.004905816298049093
sub-C_ses-CO-20150701,sub-C_ses-CO-20150706,20150701,20150706,train,train,5,49,46,0.9931315269485648,0.0073461997909529675,0.0073461997909529675
sub-C_ses-CO-20150701,sub-C_ses-CO-20150707,20150701,20150707,train,train,6,49,42,0.9952889229978967,0.005064085215537695,0.005064085215537695
sub-C_ses-CO-20150701,sub-C_ses-CO-20150708,20150701,20150708,train,train,7,49,64,0.9956595664447672,0.004612278804168701,0.004612278804168701
sub-C_ses-CO-20150701,sub-C_ses-CO-20150709,20150701,20150709,train,train,8,49,61,0.9929673190039138,0.008658323620545527,0.008658323620545527
sub-C_ses-CO-20150701,sub-C_ses-CO-20150710,20150701,20150710,train,train,9,49,55,0.9914254151602715,0.010303614611683942,0.010303614611683942
sub-C_ses-CO-20150701,sub-C_ses-CO-20150713,20150701,20150713,train,train,12,49,58,0.9897585077120405,0.011140066206363208,0.011140066206363208
sub-C_ses-CO-20150701,sub-C_ses-CO-20150714,20150701,20150714,train,train,13,49,66,0.9860314380770079,0.015124527039714453,0.015124527039714453
sub-C_ses-CO-20150701,sub-C_ses-CO-20150715,20150701,20150715,train,train,14,49,60,0.9887154181952171,0.013537647692776211,0.013537647692776211
sub-C_ses-CO-20150701,sub-C_ses-CO-20150716,20150701,20150716,train,train,15,49,61,0.981750070038725,0.0202741511760125,0.0202741511760125
sub-C_ses-CO-20150701,sub-C_ses-CO-20151103,20150701,20151103,train,dev,125,49,38,0.9805556841511073,0.021521972307877224,0.021521972307877224
sub-C_ses-CO-20150701,sub-C_ses-CO-20151104,20150701,20151104,train,dev,126,49,59,0.9859940882859137,0.014965745824329968,0.014965745824329968
sub-C_ses-CO-20150701,sub-C_ses-CO-20151106,20150701,20151106,train,dev,128,49,60,0.9875325865259672,0.0134226556575745,0.0134226556575745
sub-C_ses-CO-20150701,sub-C_ses-CO-20151109,20150701,20151109,train,dev,131,49,65,0.9876865043763032,0.01303291243112703,0.01303291243112703
sub-C_ses-CO-20150701,sub-C_ses-CO-20151110,20150701,20151110,train,dev,132,49,61,0.9861976948322569,0.014841607561169479,0.014841607561169479
sub-C_ses-CO-20150701,sub-C_ses-CO-20151112,20150701,20151112,train,dev,134,49,42,0.9617107840384922,0.041971839893718,0.041971839893718
sub-C_ses-CO-20150703,sub-C_ses-CO-20150706,20150703,20150706,train,train,3,52,46,0.9961416184705755,0.003962842394973576,0.003962842394973576
sub-C_ses-CO-20150703,sub-C_ses-CO-20150707,20150703,20150707,train,train,4,52,42,0.9962920933291283,0.003831832885346609,0.003831832885346609
sub-C_ses-CO-20150703,sub-C_ses-CO-20150708,20150703,20150708,train,train,5,52,64,0.9967960060355141,0.003535425858513408,0.003535425858513408
sub-C_ses-CO-20150703,sub-C_ses-CO-20150709,20150703,20150709,train,train,6,52,61,0.993304119564746,0.009407237291983783,0.009407237291983783
sub-C_ses-CO-20150703,sub-C_ses-CO-20150710,20150703,20150710,train,train,7,52,55,0.9935976966859944,0.008999439207171722,0.008999439207171722
sub-C_ses-CO-20150703,sub-C_ses-CO-20150713,20150703,20150713,train,train,10,52,58,0.9919575331192262,0.009182442155387438,0.009182442155387438
sub-C_ses-CO-20150703,sub-C_ses-CO-20150714,20150703,20150714,train,train,11,52,66,0.9851745172845234,0.016259870335602056,0.016259870335602056
sub-C_ses-CO-20150703,sub-C_ses-CO-20150715,20150703,20150715,train,train,12,52,60,0.9905443446213096,0.012629984239929781,0.012629984239929781
sub-C_ses-CO-20150703,sub-C_ses-CO-20150716,20150703,20150716,train,train,13,52,61,0.9798308383779992,0.022780394879466037,0.022780394879466037
sub-C_ses-CO-20150703,sub-C_ses-CO-20151103,20150703,20151103,train,dev,123,52,38,0.9840740203221648,0.018174145914259476,0.018174145914259476
sub-C_ses-CO-20150703,sub-C_ses-CO-20151104,20150703,20151104,train,dev,124,52,59,0.9892818707047976,0.010831032829935472,0.010831032829935472
sub-C_ses-CO-20150703,sub-C_ses-CO-20151106,20150703,20151106,train,dev,126,52,60,0.9910430251774718,0.009926651074594561,0.009926651074594561
sub-C_ses-CO-20150703,sub-C_ses-CO-20151109,20150703,20151109,train,dev,129,52,65,0.9939662089885606,0.006228609708240684,0.006228609708240684
sub-C_ses-CO-20150703,sub-C_ses-CO-20151110,20150703,20151110,train,dev,130,52,61,0.9908405524178246,0.0092646670625951,0.0092646670625951
sub-C_ses-CO-20150703,sub-C_ses-CO-20151112,20150703,20151112,train,dev,132,52,42,0.9681771073512841,0.03287654289928321,0.03287654289928321
sub-C_ses-CO-20150706,sub-C_ses-CO-20150707,20150706,20150707,train,train,1,46,42,0.995488587598614,0.004650756920872912,0.004650756920872912
sub-C_ses-CO-20150706,sub-C_ses-CO-20150708,20150706,20150708,train,train,2,46,64,0.9960120301808975,0.004263352037063628,0.004263352037063628
sub-C_ses-CO-20150706,sub-C_ses-CO-20150709,20150706,20150709,train,train,3,46,61,0.994575079300896,0.007675119033182742,0.007675119033182742
sub-C_ses-CO-20150706,sub-C_ses-CO-20150710,20150706,20150710,train,train,4,46,55,0.995822897922349,0.006237213475362102,0.006237213475362102
sub-C_ses-CO-20150706,sub-C_ses-CO-20150713,20150706,20150713,train,train,7,46,58,0.9955777183550998,0.00518041230135724,0.00518041230135724
sub-C_ses-CO-20150706,sub-C_ses-CO-20150714,20150706,20150714,train,train,8,46,66,0.9888621451785894,0.012244104179896187,0.012244104179896187
sub-C_ses-CO-20150706,sub-C_ses-CO-20150715,20150706,20150715,train,train,9,46,60,0.9944086665380196,0.008061943243482084,0.008061943243482084
sub-C_ses-CO-20150706,sub-C_ses-CO-20150716,20150706,20150716,train,train,10,46,61,0.983558515586727,0.018617231675110535,0.018617231675110535
sub-C_ses-CO-20150706,sub-C_ses-CO-20151103,20150706,20151103,train,dev,120,46,38,0.9864511892817196,0.015442566127897628,0.015442566127897628
sub-C_ses-CO-20150706,sub-C_ses-CO-20151104,20150706,20151104,train,dev,121,46,59,0.9914222211069021,0.008798725196553114,0.008798725196553114
sub-C_ses-CO-20150706,sub-C_ses-CO-20151106,20150706,20151106,train,dev,123,46,60,0.9930194016324614,0.007714147569765517,0.007714147569765517
sub-C_ses-CO-20150706,sub-C_ses-CO-20151109,20150706,20151109,train,dev,126,46,65,0.9944422808312225,0.005737127644685369,0.005737127644685369
