left,right,left_split,right_split,days_apart,n_common,n_union,jaccard,sufficient,r_norm_flat,rmse_norm,r_raw_a,r_raw_c,r_raw_magnitude,r_raw_baseline,null_r_mean,actual_minus_null
sub-C_ses-CO-20150309,sub-C_ses-CO-20151109,train,dev,245,32,58,0.5517241379310345,True,0.2400497245541622,1.2781718969345093,0.42528297188634867,0.19500622243905052,0.2002015922130859,0.2059577595946342,-0.008686993443962872,0.24873671799812508
sub-C_ses-CO-20150309,sub-C_ses-CO-20151110,train,dev,246,30,58,0.5172413793103449,True,0.2722641906270441,1.3005446195602417,0.43382191521272867,0.3175047978198686,0.21448856928818152,0.1925087693567753,-0.017776836942947113,0.2900410275699912
sub-C_ses-CO-20150309,sub-C_ses-CO-20151112,train,dev,248,26,56,0.4642857142857143,True,0.31103742893401815,1.3823065757751465,0.3609456383450631,0.49911071136511176,0.2268989631708664,0.26453031774472174,0.00012882375381286477,0.3109086051802053
sub-C_ses-CO-20150311,sub-C_ses-CO-20150312,train,train,1,47,62,0.7580645161290323,True,0.8128414453825534,0.6334087252616882,0.7938206828431824,0.8378715678445334,0.7561646023209566,0.8907569537995486,0.01333857306499449,0.7995028723175589
sub-C_ses-CO-20150311,sub-C_ses-CO-20150313,train,train,2,45,59,0.7627118644067796,True,0.850384046347822,0.5619199275970459,0.8817786697475744,0.8306379703864544,0.8020380888173128,0.9175807031440893,-0.006094897238824039,0.8564789435866461
sub-C_ses-CO-20150311,sub-C_ses-CO-20150319,train,train,8,36,59,0.6101694915254238,True,0.6630848115179411,0.8700094819068909,0.7312851806551485,0.641618014964348,0.6004714793357628,0.6787512444075187,0.007982112198174816,0.6551026993197663
sub-C_ses-CO-20150311,sub-C_ses-CO-20150629,train,train,110,26,61,0.4262295081967213,True,0.37243936265286687,1.1395355463027954,0.03361925715287082,0.4650898449025916,0.6006617464564245,0.3729894257237442,-0.0066125306656127855,0.37905189331847966
sub-C_ses-CO-20150311,sub-C_ses-CO-20150630,train,train,111,24,59,0.4067796610169492,True,0.23184412291447007,1.3878228664398193,-0.22552555701707042,0.3186438930571892,0.3847097796821223,0.3904891490339084,-0.000586262431004747,0.2324303853454748
sub-C_ses-CO-20150311,sub-C_ses-CO-20150701,train,train,112,26,60,0.43333333333333335,True,0.1542259823684021,1.379218339920044,-0.14175945711495438,0.22445481810580292,0.28543380712522937,0.28156980272789073,-0.012170021055316832,0.16639600342371894
sub-C_ses-CO-20150311,sub-C_ses-CO-20150703,train,train,114,27,61,0.4426229508196721,True,0.2668466277314102,1.2833653688430786,-0.053350510970532006,0.4766574722127783,0.4135939835137992,0.31910428613971614,-0.024346208728579146,0.29119283645998933
sub-C_ses-CO-20150311,sub-C_ses-CO-20150706,train,train,117,25,58,0.43103448275862066,True,0.25126858261275953,1.272560477256775,0.017571229894056403,0.33397882477854834,0.37607290974962393,0.27398802761719276,0.007658349251853595,0.24361023336090593
sub-C_ses-CO-20150311,sub-C_ses-CO-20150707,train,train,118,23,57,0.40350877192982454,True,0.2636254601171263,1.2758265733718872,-0.028444126035755007,0.4382061090793575,0.39611063076427416,0.28068131350974806,0.00763145674813408,0.2559940033689922
sub-C_ses-CO-20150311,sub-C_ses-CO-20150708,train,train,119,32,60,0.5333333333333333,True,0.23831027035358832,1.3821908235549927,0.10640389769236354,0.41810863247208196,0.1507081493456393,0.3296978214223847,-0.014682793816657443,0.25299306417024575
sub-C_ses-CO-20150311,sub-C_ses-CO-20150709,train,train,120,26,59,0.4406779661016949,True,0.2917335697418734,1.3680834770202637,0.03009514012053503,0.42729976226328836,0.3914999498575301,0.37703854902152395,-0.008751402141135496,0.30048497188300893
sub-C_ses-CO-20150311,sub-C_ses-CO-20150710,train,train,121,23,58,0.39655172413793105,True,0.25746125865009006,1.3304333686828613,-0.16774210427004746,0.3919043381883504,0.46823359177390866,0.2758592414667744,-0.0010222698760438843,0.25848352852613393
sub-C_ses-CO-20150311,sub-C_ses-CO-20150713,train,train,124,26,61,0.4262295081967213,True,0.36669887614231356,1.1991829872131348,-0.01877437659321257,0.5369247332411774,0.5892789127393401,0.32317010051697875,-0.003924575533400411,0.370623451675714
sub-C_ses-CO-20150311,sub-C_ses-CO-20150714,train,train,125,29,60,0.48333333333333334,True,0.4231200551815552,1.1272064447402954,-0.019047197663641602,0.5460262531866092,0.6309084199652351,0.4476656203466715,0.007282525206976471,0.41583752997457873
sub-C_ses-CO-20150311,sub-C_ses-CO-20150715,train,train,126,29,59,0.4915254237288136,True,0.3113115662696463,1.1605161428451538,0.0808810389267527,0.4246301980512446,0.37504505990638853,0.33593361459751775,0.012921677860592052,0.2983898884090542
sub-C_ses-CO-20150311,sub-C_ses-CO-20150716,train,train,127,27,60,0.45,True,0.29055947750980166,1.2963260412216187,0.03350364425424514,0.49189007262907863,0.34332392203684414,0.28582881213924793,-0.0063335395853769015,0.29689301709517857
sub-C_ses-CO-20150311,sub-C_ses-CO-20151103,train,dev,237,23,55,0.41818181818181815,True,0.08771521238510958,1.5713822841644287,0.3420447152653345,0.0468274720372579,-0.12225857999907436,0.12750446172090427,-0.011439824164935315,0.0991550365500449
sub-C_ses-CO-20150311,sub-C_ses-CO-20151104,train,dev,238,30,63,0.47619047619047616,True,0.19629482778857602,1.618154764175415,0.2574396779426364,0.2780357688928953,0.08647427189267219,0.22979958347126864,0.0009358292870218388,0.19535899850155417
sub-C_ses-CO-20150311,sub-C_ses-CO-20151106,train,dev,240,31,61,0.5081967213114754,True,0.2771004057749407,1.5083688497543335,0.2640193914067807,0.3717254872427476,0.16356842162417054,0.41455434145952225,-0.0002934948377644031,0.27739390061270514
sub-C_ses-CO-20150311,sub-C_ses-CO-20151109,train,dev,243,31,63,0.49206349206349204,True,0.23007839205147973,1.6008464097976685,0.2450778011067557,0.23621925967663737,0.14021099372559886,0.3796862213666326,0.0021326355067683854,0.22794575654471133
sub-C_ses-CO-20150311,sub-C_ses-CO-20151110,train,dev,244,32,60,0.5333333333333333,True,0.22747204061480697,1.6669379472732544,0.2639683099013468,0.2450704853804474,0.1418632746456092,0.3689362859537007,-0.005100857384942417,0.2325728979997494
sub-C_ses-CO-20150311,sub-C_ses-CO-20151112,train,dev,246,27,59,0.4576271186440678,True,0.17032874756473634,1.7652777433395386,0.12883265725644505,0.2629702817944955,0.11084843241551179,0.3550693958706075,-0.00959702786429246,0.1799257754290288
sub-C_ses-CO-20150312,sub-C_ses-CO-20150313,train,train,1,46,61,0.7540983606557377,True,0.8675245325308301,0.5037254691123962,0.8515461108905004,0.8785427793287973,0.8401630392105324,0.9272729705352981,0.012383260204665434,0.8551412723261647
